City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,2022-02-06 20:22:14,-46.1927,168.8643,47.34,74,5,1.28,clear sky
1,Vao,NC,2022-02-06 20:22:14,-22.6667,167.4833,80.04,84,79,1.16,broken clouds
2,Cowansville,CA,2022-02-06 20:20:17,45.2001,-72.7491,23.16,45,63,4.61,broken clouds
3,Hovd,MN,2022-02-06 20:22:15,48.0056,91.6419,-14.08,74,13,3.2,few clouds
4,Deputatskiy,RU,2022-02-06 20:22:15,69.3,139.9,-34.76,98,78,5.35,broken clouds
5,Cape Town,ZA,2022-02-06 20:20:47,-33.9258,18.4232,67.12,75,20,6.91,few clouds
6,Ati,TD,2022-02-06 20:22:16,13.2154,18.3353,71.24,14,0,10.33,clear sky
7,Hermanus,ZA,2022-02-06 20:22:14,-34.4187,19.2345,67.8,92,9,7.09,clear sky
8,New Norfolk,AU,2022-02-06 20:22:17,-42.7826,147.0587,52.75,75,4,1.95,clear sky
9,Busselton,AU,2022-02-06 20:22:17,-33.65,115.3333,53.1,53,47,17.13,scattered clouds
10,Victoria,HK,2022-02-06 20:20:03,22.2855,114.1577,62.58,80,100,3.0,overcast clouds
11,Ushuaia,AR,2022-02-06 20:22:18,-54.8,-68.3,64.06,55,75,18.41,broken clouds
12,Vila Franca Do Campo,PT,2022-02-06 20:19:57,37.7167,-25.4333,61.2,86,70,12.97,broken clouds
13,Tiksi,RU,2022-02-06 20:22:19,71.6872,128.8694,-15.3,99,100,4.25,overcast clouds
14,Castro,BR,2022-02-06 20:22:19,-24.7911,-50.0119,74.17,78,47,5.86,light rain
15,Bluff,NZ,2022-02-06 20:22:20,-46.6,168.3333,48.31,72,3,5.14,clear sky
16,Barrow,US,2022-02-06 20:17:36,71.2906,-156.7887,-25.58,68,0,12.66,clear sky
17,Chimbote,PE,2022-02-06 20:22:22,-9.0853,-78.5783,74.61,70,95,10.69,overcast clouds
18,Punta Arenas,CL,2022-02-06 20:17:51,-53.15,-70.9167,68.11,56,75,11.5,broken clouds
19,Rocha,UY,2022-02-06 20:22:23,-34.4833,-54.3333,70.16,49,46,18.63,scattered clouds
20,Cabo San Lucas,MX,2022-02-06 20:19:49,22.8909,-109.9124,75.61,61,0,5.01,clear sky
21,Berdyaush,RU,2022-02-06 20:22:23,55.1619,59.1464,5.22,96,99,3.96,overcast clouds
22,Tuktoyaktuk,CA,2022-02-06 20:22:24,69.4541,-133.0374,-25.6,75,75,17.27,light snow
23,Hilo,US,2022-02-06 20:20:19,19.7297,-155.09,75.25,92,100,6.91,moderate rain
24,Carnarvon,AU,2022-02-06 20:22:25,-24.8667,113.6333,72.75,66,22,24.27,few clouds
25,Knysna,ZA,2022-02-06 20:22:25,-34.0363,23.0471,73.78,56,23,5.44,few clouds
26,Inverell,AU,2022-02-06 20:22:25,-29.7833,151.1167,55.11,89,0,1.01,clear sky
27,Kedrovyy,RU,2022-02-06 20:22:26,56.1667,91.8167,21.61,86,100,4.7,overcast clouds
28,Arraial Do Cabo,BR,2022-02-06 20:17:51,-22.9661,-42.0278,85.96,69,0,18.41,clear sky
29,Naze,JP,2022-02-06 20:21:31,28.3667,129.4833,51.98,62,100,7.07,overcast clouds
30,Pascagoula,US,2022-02-06 20:22:27,30.3658,-88.5561,61.05,38,0,4.61,clear sky
31,Hobart,AU,2022-02-06 20:18:28,-42.8794,147.3294,53.06,87,20,1.01,few clouds
32,Souillac,MU,2022-02-06 20:22:07,-20.5167,57.5167,79.36,83,75,6.91,broken clouds
33,Nikolskoye,RU,2022-02-06 20:22:28,59.7035,30.7861,35.87,94,100,12.01,light snow
34,Byron Bay,AU,2022-02-06 20:22:29,-28.65,153.6167,67.87,77,100,15.52,overcast clouds
35,Tiznit,MA,2022-02-06 20:22:29,29.5833,-9.5,62.82,41,6,2.33,clear sky
36,Kodiak,US,2022-02-06 20:22:29,57.79,-152.4072,36.91,65,0,14.97,clear sky
37,Hervey Bay,AU,2022-02-06 20:22:30,-25.2986,152.8535,66.31,78,20,14.03,light rain
38,Jamestown,US,2022-02-06 20:22:30,42.097,-79.2353,35.19,26,0,13.8,clear sky
39,Arlit,NE,2022-02-06 20:22:31,18.7369,7.3853,66.96,9,0,5.37,clear sky
40,Pisco,PE,2022-02-06 20:22:31,-13.7,-76.2167,73.02,83,20,10.36,mist
41,Aksha,RU,2022-02-06 20:22:31,50.2814,113.2867,3.0,95,50,4.81,scattered clouds
42,Hofn,IS,2022-02-06 20:22:32,64.2539,-15.2082,26.6,67,3,16.91,clear sky
43,Bredasdorp,ZA,2022-02-06 20:22:33,-34.5322,20.0403,67.28,82,0,3.44,clear sky
44,Rikitea,PF,2022-02-06 20:22:33,-23.1203,-134.9692,79.12,70,1,17.02,clear sky
45,Oussouye,SN,2022-02-06 20:22:34,12.485,-16.5469,82.58,47,1,6.71,clear sky
46,Mehamn,NO,2022-02-06 20:22:34,71.0357,27.8492,26.78,89,28,15.41,scattered clouds
47,Puerto Ayora,EC,2022-02-06 20:18:21,-0.7393,-90.3518,84.16,88,53,8.01,broken clouds
48,Katsuura,JP,2022-02-06 20:19:22,35.1333,140.3,35.71,49,67,10.83,broken clouds
49,Troitskoye,RU,2022-02-06 20:23:35,52.9821,84.6757,1.13,98,26,2.57,scattered clouds
50,Hamilton,US,2022-02-06 20:23:36,39.1834,-84.5333,40.98,57,0,1.01,clear sky
51,Katobu,ID,2022-02-06 20:23:36,-4.9408,122.5276,75.04,94,31,4.7,scattered clouds
52,Ribeira Grande,PT,2022-02-06 20:23:37,38.5167,-28.7,63.0,82,75,11.5,broken clouds
53,Muros,ES,2022-02-06 20:23:37,42.7762,-9.0603,52.84,75,44,9.93,scattered clouds
54,Kaitangata,NZ,2022-02-06 20:23:37,-46.2817,169.8464,48.24,77,5,0.27,clear sky
55,Torbay,CA,2022-02-06 20:23:38,47.6666,-52.7314,15.58,78,75,14.97,broken clouds
56,Kavieng,PG,2022-02-06 20:23:38,-2.5744,150.7967,81.05,78,77,3.15,broken clouds
57,Pierre,US,2022-02-06 20:23:40,44.3683,-100.351,45.86,43,40,1.01,scattered clouds
58,Mount Gambier,AU,2022-02-06 20:19:02,-37.8333,140.7667,59.25,60,0,5.35,clear sky
59,Goderich,CA,2022-02-06 20:23:41,43.7501,-81.7165,28.9,68,100,13.8,overcast clouds
60,Esperance,AU,2022-02-06 20:23:41,-33.8667,121.9,60.64,63,100,22.53,overcast clouds
61,Oktyabrskoye,RU,2022-02-06 20:23:42,43.0645,44.7417,32.14,74,97,6.71,overcast clouds
62,San Cristobal,VE,2022-02-06 20:23:42,7.7669,-72.225,73.58,57,73,4.09,broken clouds
63,Lusambo,CD,2022-02-06 20:23:43,-4.9667,23.45,73.11,83,100,0.94,light rain
64,Necochea,AR,2022-02-06 20:23:43,-38.5473,-58.7368,63.03,69,86,18.37,overcast clouds
65,Vaini,TO,2022-02-06 20:22:08,-21.2,-175.2,77.16,94,100,9.22,light intensity drizzle
66,Mar Del Plata,AR,2022-02-06 20:19:09,-38.0023,-57.5575,68.09,87,100,3.0,overcast clouds
67,Gandajika,CD,2022-02-06 20:23:44,-6.75,23.95,65.75,95,100,3.65,light rain
68,Pokrovsk,UA,2022-02-06 20:23:44,48.282,37.1758,29.1,93,100,7.9,overcast clouds
69,Novyy Urengoy,RU,2022-02-06 20:23:45,66.0833,76.6333,-21.17,100,73,1.72,broken clouds
70,Boende,CD,2022-02-06 20:23:45,-0.2167,20.8667,81.43,42,100,1.86,overcast clouds
71,Lebu,CL,2022-02-06 20:20:24,-37.6167,-73.65,65.86,67,0,13.18,clear sky
72,Ponta Do Sol,PT,2022-02-06 20:23:46,32.6667,-17.1,63.72,68,9,10.27,clear sky
73,Harper,LR,2022-02-06 20:23:46,4.375,-7.7169,79.84,81,99,10.54,overcast clouds
74,Dikson,RU,2022-02-06 20:23:47,73.5069,80.5464,-20.13,99,93,10.4,overcast clouds
75,Aklavik,CA,2022-02-06 20:21:30,68.2191,-135.0107,-19.37,76,75,16.11,broken clouds
76,Port Shepstone,ZA,2022-02-06 20:23:48,-30.7414,30.455,73.26,86,41,12.62,light rain
77,Albany,US,2022-02-06 20:22:18,42.6001,-73.9662,28.31,56,57,1.01,broken clouds
78,Mastic Beach,US,2022-02-06 20:23:48,40.7668,-72.8521,32.5,68,0,3.0,clear sky
79,Thompson,CA,2022-02-06 20:23:48,55.7435,-97.8558,-3.84,54,20,8.05,few clouds
80,Camacha,PT,2022-02-06 20:20:03,33.0833,-16.3333,59.76,67,40,14.97,scattered clouds
81,Saskylakh,RU,2022-02-06 20:23:49,71.9167,114.0833,-24.97,100,95,2.08,overcast clouds
82,Saldanha,ZA,2022-02-06 20:23:49,-33.0117,17.9442,68.05,96,38,9.33,scattered clouds
83,Khatanga,RU,2022-02-06 20:23:50,71.9667,102.5,-18.26,98,99,8.63,overcast clouds
84,Almonte,ES,2022-02-06 20:23:50,37.2647,-6.5167,59.27,66,4,8.14,clear sky
85,Tasiilaq,GL,2022-02-06 20:23:51,65.6145,-37.6368,23.16,60,100,41.07,overcast clouds
86,Norman Wells,CA,2022-02-06 20:23:51,65.282,-126.8329,-12.96,64,75,18.41,broken clouds
87,Bakong,CM,2022-02-06 20:23:52,5.0935,10.4852,69.26,23,25,1.72,scattered clouds
88,General Roca,AR,2022-02-06 20:23:52,-39.0333,-67.5833,88.2,14,1,9.55,clear sky
89,Sorland,NO,2022-02-06 20:23:52,67.667,12.6934,35.46,61,100,17.27,overcast clouds
90,Kruisfontein,ZA,2022-02-06 20:23:53,-34.0033,24.7314,74.88,57,100,10.94,overcast clouds
91,Ixtapa,MX,2022-02-06 20:23:53,20.7,-105.2,76.23,73,40,10.36,scattered clouds
92,Atuona,PF,2022-02-06 20:24:54,-9.8,-139.0333,78.69,73,1,19.01,clear sky
93,Leningradskiy,RU,2022-02-06 20:24:54,69.3833,178.4167,-22.86,98,28,6.69,scattered clouds
94,Upernavik,GL,2022-02-06 20:20:21,72.7868,-56.1549,-13.32,98,100,8.5,overcast clouds
95,Port Elizabeth,ZA,2022-02-06 20:24:55,-33.918,25.5701,77.09,78,0,12.66,clear sky
96,Yenagoa,NG,2022-02-06 20:24:56,4.9247,6.2642,80.91,67,0,6.29,clear sky
97,Mahebourg,MU,2022-02-06 20:21:59,-20.4081,57.7,79.25,83,75,6.91,broken clouds
98,Egvekinot,RU,2022-02-06 20:24:56,66.3167,-179.1667,-13.95,82,1,7.76,clear sky
99,Caraballeda,VE,2022-02-06 20:24:57,10.6112,-66.8522,89.67,58,75,5.75,broken clouds
100,Huntington,US,2022-02-06 20:24:57,38.4193,-82.4452,48.54,48,0,4.0,clear sky
101,Urengoy,RU,2022-02-06 20:24:58,65.9667,78.3667,-25.56,100,93,3.87,overcast clouds
102,Longyearbyen,SJ,2022-02-06 20:24:58,78.2186,15.6401,21.04,53,20,11.5,few clouds
103,Oranjemund,NA,2022-02-06 20:25:00,-28.55,16.4333,66.83,72,46,5.12,scattered clouds
104,Kapaa,US,2022-02-06 20:23:26,22.0752,-159.319,77.32,76,75,1.01,broken clouds
105,Salalah,OM,2022-02-06 20:25:02,17.0151,54.0924,75.06,38,94,12.97,overcast clouds
106,Shache,CN,2022-02-06 20:25:03,38.4167,77.2406,27.05,56,97,4.63,overcast clouds
107,Khilok,RU,2022-02-06 20:25:03,51.3674,110.4676,8.56,94,100,5.66,overcast clouds
108,Butaritari,KI,2022-02-06 20:20:18,3.0707,172.7902,81.61,77,48,16.08,light rain
109,Lucapa,AO,2022-02-06 20:25:04,-8.4192,20.7447,65.55,96,92,1.72,moderate rain
110,Mumford,GH,2022-02-06 20:25:05,5.2618,-0.759,80.6,82,65,6.31,broken clouds
111,Port Lincoln,AU,2022-02-06 20:21:08,-34.7333,135.8667,72.18,58,0,14.54,clear sky
112,Beringovskiy,RU,2022-02-06 20:25:05,63.05,179.3167,-18.67,99,45,7.09,scattered clouds
113,Concordia,AR,2022-02-06 20:25:06,-31.393,-58.0209,75.27,44,20,15.01,few clouds
114,Geraldton,AU,2022-02-06 20:25:06,-28.7667,114.6,68.41,49,40,13.8,scattered clouds
115,Yulara,AU,2022-02-06 20:23:19,-25.2406,130.9889,67.84,45,0,5.75,clear sky
116,Chizhou,CN,2022-02-06 20:25:07,30.6578,117.4831,33.69,100,100,6.11,snow
117,Fuling,CN,2022-02-06 20:25:08,29.7022,107.3919,38.66,99,100,0.13,light rain
118,Hobyo,SO,2022-02-06 20:25:08,5.3505,48.5268,76.51,70,76,16.04,broken clouds
119,Pemangkat,ID,2022-02-06 20:24:35,1.1667,108.9667,76.75,91,98,5.61,overcast clouds
120,Port Alfred,ZA,2022-02-06 20:25:09,-33.5906,26.891,74.66,83,73,21.32,broken clouds
121,San Ramon De La Nueva Oran,AR,2022-02-06 20:25:09,-23.1322,-64.326,77.34,49,68,1.74,broken clouds
122,Biltine,TD,2022-02-06 20:25:10,14.5333,20.9167,68.63,11,84,15.55,broken clouds
123,Buritis,BR,2022-02-06 20:25:10,-15.6178,-46.4233,70.16,96,100,1.19,overcast clouds
124,Bethanien,NA,2022-02-06 20:25:11,-26.502,17.1583,69.55,71,100,14.34,moderate rain
125,Cayenne,GF,2022-02-06 20:25:11,4.9333,-52.3333,82.44,84,75,5.01,moderate rain
126,Alice Springs,AU,2022-02-06 20:20:48,-23.7,133.8833,58.55,94,0,0.0,clear sky
127,Seddon,AU,2022-02-06 20:25:12,-37.8068,144.8916,62.35,86,0,4.61,clear sky
128,Dakar,SN,2022-02-06 20:25:12,14.6937,-17.4441,77.88,83,0,9.22,clear sky
129,Zilair,RU,2022-02-06 20:25:12,52.2332,57.4392,15.1,97,100,1.86,overcast clouds
130,Buzmeyin,TM,2022-02-06 20:25:13,38.0507,58.2056,33.53,93,40,4.61,scattered clouds
131,Svetlogorsk,BY,2022-02-06 20:25:13,52.6333,29.7333,32.22,93,100,13.73,overcast clouds
132,Boali,CF,2022-02-06 20:25:14,4.8005,18.1275,80.47,22,59,3.83,broken clouds
133,Saint-Philippe,RE,2022-02-06 20:22:07,-21.3585,55.7679,80.15,81,100,14.74,overcast clouds
134,Carberry,CA,2022-02-06 20:25:15,49.8689,-99.3602,0.64,86,65,6.22,broken clouds
135,Codrington,AU,2022-02-06 20:26:15,-38.2667,141.9667,56.34,80,0,8.7,clear sky
136,Sabang,ID,2022-02-06 20:26:16,5.8933,95.3214,77.47,86,100,15.19,overcast clouds
137,Cockburn Town,TC,2022-02-06 20:22:24,21.4612,-71.1419,78.76,47,20,9.22,few clouds
138,Poronaysk,RU,2022-02-06 20:26:17,49.2167,143.1167,-1.37,94,62,6.33,broken clouds
139,Provideniya,RU,2022-02-06 20:21:50,64.3833,-173.3,-6.21,85,2,3.33,clear sky
140,Santa Cruz Cabralia,BR,2022-02-06 20:26:17,-16.2781,-39.0247,82.63,78,40,10.36,scattered clouds
141,East London,ZA,2022-02-06 20:24:02,-33.0153,27.9116,74.34,82,1,19.8,clear sky
142,Fort Nelson,CA,2022-02-06 20:25:24,58.8053,-122.7002,36.23,87,100,4.09,overcast clouds
143,Hirara,JP,2022-02-06 20:26:18,24.8,125.2833,64.71,65,53,16.53,broken clouds
144,Sangamner,IN,2022-02-06 20:26:19,19.5667,74.2167,65.37,45,46,5.66,scattered clouds
145,Houma,US,2022-02-06 20:26:19,29.5958,-90.7195,57.2,39,0,8.05,clear sky
146,Yellowknife,CA,2022-02-06 20:23:34,62.456,-114.3525,-2.58,91,75,13.8,light snow
147,Praia Da Vitoria,PT,2022-02-06 20:26:20,38.7333,-27.0667,60.76,100,75,16.62,mist
148,Ambon,ID,2022-02-06 20:26:20,-3.6954,128.1814,75.34,94,40,5.75,scattered clouds
149,Santiago,CL,2022-02-06 20:25:04,-33.4569,-70.6483,95.29,23,0,9.22,clear sky
150,Hithadhoo,MV,2022-02-06 20:26:21,-0.6,73.0833,82.27,72,33,12.66,scattered clouds
151,Chuy,UY,2022-02-06 20:26:21,-33.6971,-53.4616,73.94,40,4,16.46,clear sky
152,Belaya Gora,RU,2022-02-06 20:26:22,68.5333,146.4167,-43.17,100,65,1.61,broken clouds
153,Kutum,SD,2022-02-06 20:26:23,14.2,24.6667,56.07,18,61,12.37,broken clouds
154,Kindu,CD,2022-02-06 20:26:23,-2.95,25.95,73.42,83,100,0.25,overcast clouds
155,Killam,CA,2022-02-06 20:26:23,52.7834,-111.8518,42.39,65,58,13.8,broken clouds
156,Vestmannaeyjar,IS,2022-02-06 20:22:30,63.4427,-20.2734,35.94,56,100,18.07,overcast clouds
157,Clinton,US,2022-02-06 20:26:24,42.587,-82.9199,35.67,63,40,1.01,scattered clouds
158,Tamandare,BR,2022-02-06 20:26:24,-8.7597,-35.1047,81.86,67,51,13.78,broken clouds
159,Marawi,PH,2022-02-06 20:25:56,7.9986,124.2928,63.64,92,19,1.43,few clouds
160,Iberia,US,2022-02-06 20:26:25,29.9502,-91.7507,58.05,37,0,3.44,clear sky
161,Kaseda,JP,2022-02-06 20:26:26,31.4167,130.3167,34.84,68,100,6.02,overcast clouds
162,Emba,KZ,2022-02-06 20:26:26,48.8264,58.1442,17.42,96,100,10.67,overcast clouds
163,Luderitz,NA,2022-02-06 20:26:27,-26.6481,15.1594,68.56,74,24,4.03,few clouds
164,Ostersund,SE,2022-02-06 20:26:27,63.1792,14.6357,22.6,93,100,11.5,light snow
165,Rio Verde De Mato Grosso,BR,2022-02-06 20:26:28,-18.9181,-54.8442,81.32,81,99,5.35,overcast clouds
166,Kankakee,US,2022-02-06 20:26:28,41.15,-87.8667,33.17,80,0,13.8,clear sky
167,Bethel,US,2022-02-06 20:25:39,41.3712,-73.414,30.47,56,0,1.01,clear sky
168,Sioux Lookout,CA,2022-02-06 20:26:29,50.1001,-91.917,10.78,67,20,5.75,few clouds
169,Mercedes,AR,2022-02-06 20:23:17,-34.6515,-59.4307,73.18,46,68,14.81,broken clouds
170,Hami,CN,2022-02-06 20:26:29,42.8,93.45,26.08,34,16,11.3,few clouds
171,Tokur,RU,2022-02-06 20:26:30,53.1333,132.9,-23.58,99,48,1.63,scattered clouds
172,San Pedro,PH,2022-02-06 20:26:30,14.35,121.0167,78.03,81,75,4.61,broken clouds
173,Salinopolis,BR,2022-02-06 20:22:20,-0.6136,-47.3561,78.98,87,100,8.3,moderate rain
174,Koungou,YT,2022-02-06 20:26:31,-12.7336,45.2042,80.31,89,0,3.44,clear sky
175,Antofagasta,CL,2022-02-06 20:26:27,-23.65,-70.4,75.22,59,0,7.31,clear sky
176,San Jose,US,2022-02-06 20:24:08,37.3394,-121.895,69.08,44,0,1.01,clear sky
177,Brae,GB,2022-02-06 20:24:27,60.3964,-1.353,39.11,56,44,32.06,scattered clouds
178,Ilulissat,GL,2022-02-06 20:27:32,69.2167,-51.1,1.42,60,100,8.05,overcast clouds
179,Kudahuvadhoo,MV,2022-02-06 20:27:33,2.6708,72.8944,81.64,64,23,10.25,few clouds
180,Chokurdakh,RU,2022-02-06 20:26:01,70.6333,147.9167,-39.57,100,91,2.21,overcast clouds
181,Dunedin,NZ,2022-02-06 20:27:33,-45.8742,170.5036,51.6,77,24,1.92,few clouds
182,Caceres,ES,2022-02-06 20:27:34,39.522,-6.3748,47.8,63,3,3.15,clear sky
183,Anloga,GH,2022-02-06 20:27:34,5.7947,0.8973,84.42,80,59,12.28,broken clouds
184,Puerto Madryn,AR,2022-02-06 20:27:35,-42.7692,-65.0385,73.38,38,8,15.28,clear sky
185,Lorengau,PG,2022-02-06 20:23:16,-2.0226,147.2712,80.76,80,100,6.73,overcast clouds
186,Alihe,CN,2022-02-06 20:27:35,50.5667,123.7167,-7.87,97,86,2.91,overcast clouds
187,Faanui,PF,2022-02-06 20:25:56,-16.4833,-151.75,81.28,74,100,22.37,overcast clouds
188,Russell,US,2022-02-06 20:27:36,32.3502,-85.1999,56.97,51,62,6.96,broken clouds
189,Fairbanks,US,2022-02-06 20:25:02,64.8378,-147.7164,-1.7,76,100,0.0,haze
190,Georgetown,MY,2022-02-06 20:27:37,5.4112,100.3354,76.95,95,40,3.44,scattered clouds
191,Dindori,IN,2022-02-06 20:27:37,22.95,81.0833,53.78,29,0,2.08,clear sky
192,Tessalit,ML,2022-02-06 20:27:37,20.1986,1.0114,69.48,10,0,7.05,clear sky
193,Plaster Rock,CA,2022-02-06 20:27:38,46.9065,-67.39,11.55,71,89,5.73,overcast clouds
194,Bowen,AU,2022-02-06 20:27:38,-20.0167,148.2333,71.82,81,74,10.56,broken clouds
195,Burnie,AU,2022-02-06 20:27:39,-41.0667,145.9167,55.08,88,15,9.46,few clouds
196,Kamiiso,JP,2022-02-06 20:27:39,41.8167,140.65,21.34,91,64,5.61,broken clouds
197,Avera,US,2022-02-06 20:23:28,33.194,-82.5271,49.71,46,100,8.41,overcast clouds
198,Qaanaaq,GL,2022-02-06 20:27:40,77.484,-69.3632,-12.8,59,28,7.85,scattered clouds
199,Saint-Georges,GD,2022-02-06 20:27:40,12.0564,-61.7485,83.88,74,40,20.71,scattered clouds
200,Mayo,US,2022-02-06 20:24:43,38.8876,-76.5119,40.24,35,0,3.0,clear sky
201,Nouadhibou,MR,2022-02-06 20:27:44,20.931,-17.0347,66.18,94,6,13.8,clear sky
202,Vostok,RU,2022-02-06 20:27:44,46.4856,135.8833,-10.71,99,98,4.14,overcast clouds
203,Kattivakkam,IN,2022-02-06 20:27:45,13.2167,80.3167,80.08,77,100,8.95,overcast clouds
204,Morros,BR,2022-02-06 20:27:45,-9.4467,-46.3003,83.59,61,100,2.55,overcast clouds
205,Labytnangi,RU,2022-02-06 20:27:46,66.6572,66.4183,-20.72,100,99,2.66,overcast clouds
206,Roxana,CR,2022-02-06 20:27:46,10.2753,-83.7513,90.12,49,65,6.76,broken clouds
207,Koutsouras,GR,2022-02-06 20:27:47,35.0339,25.9469,56.1,80,6,1.95,clear sky
208,Minas De Barroteran,MX,2022-02-06 20:27:47,27.6333,-101.2833,57.54,25,28,4.41,scattered clouds
209,Srednekolymsk,RU,2022-02-06 20:24:32,67.45,153.6833,-36.96,100,65,1.45,broken clouds
210,Eureka,US,2022-02-06 20:25:27,40.8021,-124.1637,64.2,69,7,4.0,clear sky
211,Haines Junction,CA,2022-02-06 20:27:48,60.7522,-137.5108,37.35,60,100,14.97,overcast clouds
212,Poum,NC,2022-02-06 20:27:48,-20.2333,164.0167,80.4,83,100,10.74,overcast clouds
213,Touros,BR,2022-02-06 20:25:53,-5.1989,-35.4608,85.1,67,1,13.35,clear sky
214,Warrenton,ZA,2022-02-06 20:27:49,-28.114,24.8475,71.55,56,54,10.74,broken clouds
215,Faya,SA,2022-02-06 20:27:50,18.3851,42.4509,52.32,76,4,1.54,clear sky
216,Ust-Nera,RU,2022-02-06 20:27:50,64.5667,143.2,-24.79,80,3,2.75,clear sky
217,Sitka,US,2022-02-06 20:27:50,57.0531,-135.33,44.49,81,100,20.71,moderate rain
218,Shingu,JP,2022-02-06 20:27:51,33.7333,135.9833,38.91,73,21,6.73,few clouds
219,Beatrice,US,2022-02-06 20:27:51,40.2681,-96.747,46.87,36,0,21.85,clear sky
220,Cherskiy,RU,2022-02-06 20:27:52,68.75,161.3,-31.25,100,22,1.92,few clouds
221,Wattegama,LK,2022-02-06 20:27:52,6.7989,81.4808,71.08,76,100,4.72,overcast clouds
222,Nova Borova,UA,2022-02-06 20:27:52,50.693,28.6345,31.06,92,98,14.63,overcast clouds
223,Mwaya,TZ,2022-02-06 20:27:53,-9.55,33.95,71.19,86,100,2.44,overcast clouds
224,Washington,US,2022-02-06 20:23:47,47.5001,-120.5015,51.04,81,100,3.06,overcast clouds
225,Ahipara,NZ,2022-02-06 20:28:54,-35.1667,173.1667,73.51,97,100,6.22,overcast clouds
